# Results Explorer display-contract policy evidence
HEAD 66f207ee03182dbff4b3e5bc368d2c9be282a9b5
snapshot_source primary_checkout_public_data_read_only
snapshot /Users/joe/Developer/BenchBox/results-explorer/public/data/results.duckdb
snapshot_sha256 7cb861d6cd43f98979b5647813c8c4cbacf2eee05beee0d91152f9df241b05b7

## SQL: no_geomean and eligible counts
benchmark,scale_factor,phase,row_count,no_geomean,eligible
ai_primitives-starrocks-sf1.0-20260506-8b9cf8ae,nlp_classify_priority,0.0,3
ai_primitives-starrocks-sf1.0-20260506-8b9cf8ae,nlp_classify_segment,0.0,3
ai_primitives-starrocks-sf1.0-20260506-8b9cf8ae,nlp_entity_extraction,0.0,3
ai_primitives-starrocks-sf1.0-20260506-8b9cf8ae,nlp_sentiment_batch,0.0,3
ai_primitives-starrocks-sf1.0-20260506-8b9cf8ae,nlp_sentiment_single,0.0,3
ai_primitives-starrocks-sf1.0-20260506-8b9cf8ae,transform_grammar_fix,0.0,3
ai_primitives-starrocks-sf1.0-20260506-8b9cf8ae,transform_summarize_long,0.0,3
ai_primitives-starrocks-sf1.0-20260506-8b9cf8ae,transform_summarize_short,0.0,3
ai_primitives-starrocks-sf1.0-20260506-8b9cf8ae,transform_translate_comment,0.0,3
amplab-clickhouse-local-sf0.01-20260505-d0560738,1,0.0,3
amplab-clickhouse-local-sf0.01-20260505-d0560738,1a,0.0,3
amplab-datafusion-sf0.01-20260502-a276dae0,1,0.0,3
amplab-datafusion-sf0.01-20260502-a276dae0,1a,0.0,3
amplab-datafusion-sf0.01-20260505-d4177089,1,0.0,3
amplab-datafusion-sf0.01-20260505-d4177089,1a,0.0,3
amplab-datafusion-sf0.01-20260506-ea4d8b08,1,0.0,3
amplab-datafusion-sf0.01-20260506-ea4d8b08,1a,0.0,3
amplab-datafusion-sf0.1-20260505-880719a9,1a,0.0,3
amplab-duckdb-sf0.01-20260505-9af633ba,1,0.0,3
amplab-duckdb-sf0.01-20260505-9af633ba,1a,0.0,3
amplab-duckdb-sf0.01-20260505-9af633ba,2,0.0,3
amplab-duckdb-sf0.01-20260505-9af633ba,2a,0.0,3
amplab-duckdb-sf0.01-20260505-9af633ba,3,0.0,3
amplab-duckdb-sf0.01-20260505-9af633ba,3a,0.0,3
amplab-duckdb-sf0.01-20260505-9af633ba,5,0.0,3

## SQL: compare target timing coverage
result_id,query_rows,non_null_timings,positive_timings,zero_timings
amplab-clickhouse-local-sf0.01-20260505-d0560738,8,8,6,2
amplab-datafusion-sf0.01-20260502-a276dae0,8,8,6,2
amplab-duckdb-sf0.01-20260505-9af633ba,8,8,1,7
query_id,selected_positive_count,timings
1,0,amplab-clickhouse-local-sf0.01-20260505-d0560738=0.0; amplab-datafusion-sf0.01-20260502-a276dae0=0.0; amplab-duckdb-sf0.01-20260505-9af633ba=0.0
1a,0,amplab-clickhouse-local-sf0.01-20260505-d0560738=0.0; amplab-datafusion-sf0.01-20260502-a276dae0=0.0; amplab-duckdb-sf0.01-20260505-9af633ba=0.0
2,2,amplab-clickhouse-local-sf0.01-20260505-d0560738=2.0; amplab-datafusion-sf0.01-20260502-a276dae0=2.0; amplab-duckdb-sf0.01-20260505-9af633ba=0.0
2a,2,amplab-clickhouse-local-sf0.01-20260505-d0560738=1.0; amplab-datafusion-sf0.01-20260502-a276dae0=1.0; amplab-duckdb-sf0.01-20260505-9af633ba=0.0
3,2,amplab-clickhouse-local-sf0.01-20260505-d0560738=1.0; amplab-datafusion-sf0.01-20260502-a276dae0=1.0; amplab-duckdb-sf0.01-20260505-9af633ba=0.0
3a,2,amplab-clickhouse-local-sf0.01-20260505-d0560738=2.0; amplab-datafusion-sf0.01-20260502-a276dae0=2.0; amplab-duckdb-sf0.01-20260505-9af633ba=0.0
4,3,amplab-clickhouse-local-sf0.01-20260505-d0560738=2.0; amplab-datafusion-sf0.01-20260502-a276dae0=2.0; amplab-duckdb-sf0.01-20260505-9af633ba=1.0
5,2,amplab-clickhouse-local-sf0.01-20260505-d0560738=2.0; amplab-datafusion-sf0.01-20260502-a276dae0=2.0; amplab-duckdb-sf0.01-20260505-9af633ba=0.0

## Browser observations
PASS route /results/
  url http://127.0.0.1:4327/results/
  body_chars 620
  home linked_no_run_anchor_count 0
  home has_all_benchmarks_copy false
  home has_leaderboard_copy true
PASS route /results/amplab/
  url http://127.0.0.1:4327/results/amplab/
  body_chars 966
  amplab no_run_text_count 0
  amplab zero_or_sub_ms_copy false
  amplab ranks_copy true
  amplab first_lines ["BenchBox","Docs","Blog","Results","GitHub","Run benchmark","Leaderboards","Benchmarks","Platforms","Compare","Query","Results","/","AMPLab","AMPLab Results","Benchmark:"]
PASS route /results/compare?ids=61ba4644,e16ac6db,07650b37 shell-loaded
  url http://127.0.0.1:4327/results/compare?ids=61ba4644,e16ac6db,07650b37
  body_chars 344
  note Shell rendered before DuckDB data finished loading; the data-loaded observation below is authoritative for Compare policy.

## Browser observation: compare after data load
PASS route /results/compare?ids=61ba4644,e16ac6db,07650b37 data-loaded
  compare winner_language true
  compare insufficient_evidence_copy false
  compare excluded_query_copy true
  compare query_level_diff true
  compare warning_count_copy true
  compare relevant_lines ["Selected runs share the same benchmark, scale, and phase for winner claims.","4 warnings","DuckDB is 1.59x faster by geomean query time.","WINNER","1.59x","vs slowest selected","1 fastest of 1 comparable","0 slower · 0 tied · 7 excluded for missing data","1.59x","Geomean query time - geometric mean of per-query execution times (measurement runs only). More comparable than wall-clock total when query counts differ. Lower is faster.","Query-Level Diff","Baseline: DuckDB. Negative deltas mean the candidate is faster than baseline.","4 warnings"]
